类型,评论ID,用户名称,用户ID,评论内容,点赞数,IP属地,发布时间,父评论ID,回复对象
一级评论,699f11170000000015013ff5,autoddd1,66e8cb21000000001d0313fb,买扫地机器人的都是有钱人啊,0,浙江,2026-02-25 23:11:20,,
回复,69a0d197000000001501774d,看山看海看自由,648d6db4000000000f005339,是懒人而已[笑哭R],1,湖北,2026-02-27 07:04:55,699f11170000000015013ff5,@autoddd1
一级评论,69155ed60000000038007615,yu_yu,62179a93000000002102639c,不需要过保修期质量也很差，我家的用了48分钟就趴窝在基站出不来了，售后比质量更差，只会车轱辘扯皮,5,安徽,2025-11-13 12:30:15,,
回复,69159d540000000038025ee3,看山看海看自由,648d6db4000000000f005339,网红品牌真的不行,0,江苏,2025-11-13 16:56:52,69155ed60000000038007615,@yu_yu
一级评论,69a00f9e000000000f01d710,momo,61c2fc480000000010004ccb,我家也是用2年了，之前好好的，突然开始每次出门都回不了家，在家门口转悠悠进去一顿乱转又自己出来继续转，要么就是扫一会就没电趴着了，清洁剂也不给力，拖了觉得还油油的[叹气R],0,湖南,2026-02-26 17:17:19,,
回复,69a0d1be000000000f01df80,看山看海看自由,648d6db4000000000f005339,我也有这个现象，忘记说了,0,湖北,2026-02-27 07:05:34,69a00f9e000000000f01d710,@momo
一级评论,69aab21f000000000600c288,黄花菜,5bcc003ebffcf600018afd6f,我机器用了快两年，换网络然后连不上网了，联系维修，快递就上门取走了，也是没有箱子，快递给包装，也不用自己出运费。然后检测报告说是系统问题，不能修了，直接就联系买家给我重新发了一台新的机器过来[偷笑R]用了快两年哇[害羞R],1,广东,2026-03-06 18:53:19,,
回复,69aba84c00000000190020de,看山看海看自由,648d6db4000000000f005339,你运气好，两年不到，你要过了两年，那就该哭了[微笑R],0,江苏,2026-03-07 12:23:40,69aab21f000000000600c288,@黄花菜
一级评论,6957c0aa000000000e03424b,樱桃肉肉丸🍒,58cc12316a6a69488a43d5ef,我两年前买的  上下水老是有问题。就用了一次。,0,河南,2026-01-02 20:57:15,,
回复,69590cea000000000f01aded,看山看海看自由,648d6db4000000000f005339,这个问题好怪,1,江苏,2026-01-03 20:34:51,6957c0aa000000000e03424b,@樱桃肉肉丸🍒
一级评论,6974ce96000000000603314c,还没想好～,5b4942af11be103efe3e3f7a,我的前面不出水，不能出水也不能吸水，我把电断了一天，再插电，又好了。,0,重庆,2026-01-24 21:52:23,,
回复,69756bda000000001d00c9ed,看山看海看自由,648d6db4000000000f005339,我也出现了洗不了水，后来也是自己用布吸干，然后重新启动的,1,江苏,2026-01-25 09:03:23,6974ce96000000000603314c,@还没想好～
一级评论,69b2c926000000000202baba,momo,59d99d61de5fb46c7eed4f68,啊！！我家x20pro用了三年了，一直好好的[笑哭R],0,上海,2026-03-12 22:09:42,,
回复,69b335c000000000050391ab,看山看海看自由,648d6db4000000000f005339,真不错[赞R],0,广东,2026-03-13 05:53:04,69b2c926000000000202baba,@momo
一级评论,695badf4000000001802394d,羊小鱼,5dc6b81e0000000001008852,洗地机才用两年电池就不行了，太坑人了，大家都不要买，就两年保修，保修一过，电池就不行，想修还得自己花钱邮寄,1,天津,2026-01-05 20:26:28,,
一级评论,6999bef400000000050390d7,快乐星期天,62566ee90000000021028b55,一样，快过保之前就出问题。不出水，送修后回来有异响，后来过保了，马上轮子轴碎了，问了一下价格贵还发来发去的麻烦，就自己Pxx买了一个自己换[笑哭R]，现在才两年几个月电池不行了，年后还得pxx。群里追觅的基本都出问题，就我时间最长了[捂脸R][捂脸R][捂脸R],0,浙江,2026-02-21 22:19:33,,
回复,699a602d0000000015015cce,看山看海看自由,648d6db4000000000f005339,[失望R],0,重庆,2026-02-22 09:47:26,6999bef400000000050390d7,@快乐星期天
一级评论,699eab530000000008031f2e,继续前行版大脸,58aedead6a6a697e2dc9be97,一样的机器，各种问题不断……哎……坚持用到今年618，换,0,山东,2026-02-25 15:57:08,,
回复,69a0d1880000000015013e23,看山看海看自由,648d6db4000000000f005339,[失望R],0,湖北,2026-02-27 07:04:40,699eab530000000008031f2e,@继续前行版大脸
一级评论,69811230000000000b035573,羽,5b3669a511be100366da2cd0,好人，从购物车移除[合十R][玫瑰R],0,福建,2026-02-03 05:08:00,,
一级评论,69b39e200000000002035d5e,嗨_碧碧,58de753b82ec3967703b19f5,很差 三年左右开始频繁维修,0,四川,2026-03-13 13:18:24,,
一级评论,699c5913000000000f00f678,Abo,573d1c7882ec391f297bcc63,你们app卡嘛？,0,上海,2026-02-23 21:41:40,,
一级评论,69a25d20000000000600d0f5,，，，，，,5fb330930000000001000273,我的经常停在基站门口，回不去[哭惹R],0,北京,2026-02-28 11:12:32,,
一级评论,699c682a0000000009037ef3,小红薯65A23FCC,545f68dcd6e4a90ac1f62193,我看你们价格6000块钱呢，哎～～ 我还是请保洁吧，房间各种给我收拾 50块钱2h，一周一次 一个月也就100-200,0,安徽,2026-02-23 22:46:03,,
一级评论,699ab1dd0000000015011e4a,wo要7糖8给9哭,58aa917482ec392012364dc6,购买两年后马上出现了同样电池问题， 幸亏刷到这篇文章，果断下单了电池[派对R],0,天津,2026-02-22 15:35:57,,
回复,699acdbe000000001803b2d1,看山看海看自由,648d6db4000000000f005339,[偷笑R],0,重庆,2026-02-22 17:34:55,699ab1dd0000000015011e4a,@wo要7糖8给9哭
一级评论,6992acf90000000014033947,小红薯5EAADAC4,5eaaa637000000000100573b,可以,0,河北,2026-02-16 13:36:58,,
一级评论,69a7d6bb000000000d01130a,臭baby,602f8820000000000101cce8,我也是两年一到，莫名其妙的就开始只能扫十分钟就关机，搬回去很快又有电[笑哭R]气笑了,0,新疆,2026-03-04 14:52:44,,
回复,69a7e63d0000000018020937,看山看海看自由,648d6db4000000000f005339,[失望R],0,江苏,2026-03-04 15:58:53,69a7d6bb000000000d01130a,@臭baby
一级评论,69730f4c000000000503ba13,🐶🐶,58f4412d82ec391f65ef1d82,我的刚拿去修[笑哭R]换了一堆配件一千块,0,广东,2026-01-23 14:03:57,,
回复,69756be3000000000503ae1e,看山看海看自由,648d6db4000000000f005339,[失望R],0,江苏,2026-01-25 09:03:31,69730f4c000000000503ba13,@🐶🐶
一级评论,6991f92e000000000400377f,上好佳摄影📷,61357185000000000202636a,陪你过个小兴年,0,福建,2026-02-16 00:49:50,,
一级评论,69835831000000000601e55a,北京老杨68,5f37e79f00000000010032fc,一个全球首富的故事,0,北京,2026-02-04 22:31:14,,
回复,6983e6c5000000000f01dd8a,看山看海看自由,648d6db4000000000f005339,[偷笑R],0,江苏,2026-02-05 08:39:33,69835831000000000601e55a,@北京老杨68
一级评论,699115bd000000000f02a912,许好运降临🙏,66549b080000000007005ae0,掉呀掉,0,山东,2026-02-15 08:39:25,,
回复,69914e540000000014030b89,看山看海看自由,648d6db4000000000f005339,[失望R],0,重庆,2026-02-15 12:40:53,699115bd000000000f02a912,@许好运降临🙏
一级评论,6991140f000000000c009f7e,🌈金光闪闪小仙女,662284b600000000030311d7,掉呀掉,0,山东,2026-02-15 08:32:16,,
回复,69914e59000000001d00ed50,看山看海看自由,648d6db4000000000f005339,[哭惹R],0,重庆,2026-02-15 12:40:57,6991140f000000000c009f7e,@🌈金光闪闪小仙女
一级评论,6991f9d50000000005039734,小红薯687928A2,687889af000000001d00b92a,追觅,0,浙江,2026-02-16 00:52:38,,
一级评论,6994623f000000000f02bebe,Zurich,5c7fa8e10000000016016706,2024年5月购买了一台高端机5299¥，用了不到1年，长满了密密麻麻的小虫，然后我小红书上一搜，尼玛有人也遇到了，真的恶心，立马丢小区垃圾桶，一刻也不敢耽误,2,湖北,2026-02-17 20:42:39,,
回复,69957a49000000000f02e3ed,看山看海看自由,648d6db4000000000f005339,[失望R],0,重庆,2026-02-18 16:37:29,6994623f000000000f02bebe,@Zurich
一级评论,69b58062000000000d036a5c,奥奥象,590aaec550c4b441b7b2ea04,追觅洗地机买不到一年，出水失控、完全没吸力，头发都吸不动。寄去深圳售后，工程师直接甩锅：这是老款不管。态度恶劣还推诿，承诺给解决方案也全程失联,0,广东,2026-03-14 23:36:03,,
回复,69b6482a0000000019002942,看山看海看自由,648d6db4000000000f005339,[失望R],0,江苏,2026-03-15 13:48:26,69b58062000000000d036a5c,@奥奥象
一级评论,69b265250000000015010119,苏大王,54e72db32e1d936412720cc9,这个破机器，不管什么型号。1年半到2年电池就趴窝。,0,上海,2026-03-12 15:03:01,,
回复,69b335cb00000000030101db,看山看海看自由,648d6db4000000000f005339,[失望R],0,广东,2026-03-13 05:53:15,69b265250000000015010119,@苏大王
一级评论,69a8f660000000000902262f,蒸汽米苏,603b6e630000000001007577,追觅真的质量太差了，售后更差！,1,浙江,2026-03-05 11:20:00,,
回复,69a97e81000000001500dd6e,看山看海看自由,648d6db4000000000f005339,[笑哭R],0,江苏,2026-03-05 21:00:50,69a8f660000000000902262f,@蒸汽米苏
一级评论,69a7aa59000000000601f3c6,塔奥,5693b03baed758487fc9e920,拖布双面胶掉、拖布盘自动掉、电池断崖衰减 三个大坑我都踩了！还加一个污水箱排水异常（为此我还写了一篇自救笔记在主页没准有人能用上）。所以对追觅扫地机器人的期望就是用两年，一旦过保必有大坑等着我们，返厂一次的钱都不如直接买台新机型，变相促销新产品？追觅不如出个以旧换新政策挽回一下颜面[哭惹R],0,上海,2026-03-04 11:43:22,,
回复,69a7e6460000000009006c8f,看山看海看自由,648d6db4000000000f005339,[笑哭R],0,江苏,2026-03-04 15:59:03,69a7aa59000000000601f3c6,@塔奥
一级评论,69a78fbd00000000150152c2,小猫切西瓜,60435a34000000000101cc42,追觅的东西非常不好用，手持吸尘器吸猫砂，一停机总有几颗猫砂从吸尘口里掉出来，扫地机器人路线规划及其不合理，一个干净的地方能重复跑3-4次，关键我家布局一点都不复杂,0,江苏,2026-03-04 09:49:49,,
回复,69a7e63400000000140338fe,看山看海看自由,648d6db4000000000f005339,[笑哭R],0,江苏,2026-03-04 15:58:44,69a78fbd00000000150152c2,@小猫切西瓜
一级评论,69a15daf000000000600ad69,猫妈,5e89933800000000010044f7,太难用了 2025年的X 50pro 基本不能扫地 遇到点毛发就缠住不动了 噪音也大 千万别买,0,内蒙古,2026-02-27 17:02:40,,
回复,69a2f194000000000800e138,阿禾,5a17b7484eacab058645b1e1,感谢，正在看这款,0,四川,2026-02-28 21:45:56,69a15daf000000000600ad69,@猫妈
一级评论,6999521f0000000015010ff6,Yaeweii,55cb0f0ea75c957ceb378b81,"避雷追觅！！买来第一年基本没什么问题，第二年开始频繁出现各种问题，包括但不限于上下水异常、边刷不贴地、无法识别宠物大便直接把屎卷进轮子。

另外每次大小问题都必须返厂检修，反复提供各种产品信息和个人信息，还来来回回好几次都修不好，究其原因竟然是有些问题在维修厂简单检测后无法复现就说没问题了，必须得要在用户指导下才能定位到问题。",0,上海,2026-02-21 14:35:11,,
回复,6999614d000000001500e5da,看山看海看自由,648d6db4000000000f005339,我都不敢把机子发过去，现在经常拖地盘掉下来，只是勉强用,0,重庆,2026-02-21 15:39:58,6999521f0000000015010ff6,@Yaeweii
一级评论,697c6554000000000800f038,巴啦啦能量,62402c60000000001000ce16,谁用谁知道，烂的很，客服不解决问题，还举报我笔记,0,山东,2026-01-30 16:01:24,,
回复,697d6d16000000000f0244c9,看山看海看自由,648d6db4000000000f005339,[失望R],0,江苏,2026-01-31 10:46:47,697c6554000000000800f038,@巴啦啦能量
一级评论,6972ea4b000000000601fce3,艾艾康,6162de41000000000202378a,电池被远程操控？我的也是两年就坏了，淘宝了一块电池，良心大大的坏！准备新房子买科沃斯了,1,重庆,2026-01-23 11:26:03,,
回复,697dd9cd0000000006030a76,艾艾康,6162de41000000000202378a,还好，能用，就是续航没有以前长，不过拖不完就回去充一下再继续,0,重庆,2026-01-31 18:30:37,6972ea4b000000000601fce3,@momo
